Model,Channel,Credit,Share
First-touch,Direct Traffic,411.0,17.261654766904662
Last-touch,Direct Traffic,425.0,17.849643007139857
Linear,Direct Traffic,408.276551225,17.14727220600588
First-touch,Display Ads,428.0,17.975640487190255
Last-touch,Display Ads,401.0,16.841663166736666
Linear,Display Ads,407.15616883,17.10021708651827
First-touch,Referral,408.0,17.135657286854265
Last-touch,Referral,384.0,16.127677446451074
Linear,Referral,398.704942292,16.745272670810586
First-touch,Social Media,389.0,16.33767324653507
Last-touch,Social Media,383.0,16.08567828643427
Linear,Social Media,397.603715726,16.699022080050398
First-touch,Email,374.0,15.707685846283074
Last-touch,Email,393.0,16.505669886602266
Linear,Email,387.716774886,16.283778869634606
First-touch,Search Ads,371.0,15.581688366232676
Last-touch,Search Ads,395.0,16.589668206635867
Linear,Search Ads,381.54184704200003,16.02443708702226
